arm,completed_epoch,step,metric,value,population,source
b0,2,101374,ct_epoch_core_loss_observation/loss_total::ct_epoch_core_loss,1.5501227378845215,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_total
b0,3,152061,ct_epoch_core_loss_observation/loss_total::ct_epoch_core_loss,1.4073289632797241,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_total
b0,4,202748,ct_epoch_core_loss_observation/loss_total::ct_epoch_core_loss,1.3551002740859985,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_total
b0,1,50687,ct_epoch_core_loss_observation/rows::ct_epoch_core_loss,810992.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/rows
b0,2,101374,ct_epoch_core_loss_observation/rows::ct_epoch_core_loss,810992.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/rows
b0,3,152061,ct_epoch_core_loss_observation/rows::ct_epoch_core_loss,810992.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/rows
b0,4,202748,ct_epoch_core_loss_observation/rows::ct_epoch_core_loss,810992.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/rows
b0,1,50687,ct_epoch_core_loss_observation/transactions::ct_epoch_core_loss,50687.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/transactions
b0,2,101374,ct_epoch_core_loss_observation/transactions::ct_epoch_core_loss,50687.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/transactions
b0,3,152061,ct_epoch_core_loss_observation/transactions::ct_epoch_core_loss,50687.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/transactions
b0,4,202748,ct_epoch_core_loss_observation/transactions::ct_epoch_core_loss,50687.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/transactions
b0,1,50686,seg_acc_background/train_epoch,0.8152865767478943,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,2,101373,seg_acc_background/train_epoch,0.9109581708908081,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,3,152060,seg_acc_background/train_epoch,0.9193460941314697,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,4,202747,seg_acc_background/train_epoch,0.9234924912452698,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,1,50686,seg_acc_foreground/train_epoch,0.9749569296836853,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,2,101373,seg_acc_foreground/train_epoch,0.9833188652992249,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,3,152060,seg_acc_foreground/train_epoch,0.9848780035972595,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,4,202747,seg_acc_foreground/train_epoch,0.9863213300704956,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,1,50686,motion_acc_static/train_epoch,0.9690867066383362,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,2,101373,motion_acc_static/train_epoch,0.976233959197998,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,3,152060,motion_acc_static/train_epoch,0.9785071611404419,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,4,202747,motion_acc_static/train_epoch,0.9783958196640015,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,1,50686,motion_acc_dynamic/train_epoch,0.513556182384491,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,2,101373,motion_acc_dynamic/train_epoch,0.5778781175613403,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,3,152060,motion_acc_dynamic/train_epoch,0.5895557999610901,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
b0,4,202747,motion_acc_dynamic/train_epoch,0.5992956161499023,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/events.out.tfevents.1789065099.tesla-a40-2.163058.0
full_cfc,1,50687,ct_epoch_calibration_sampled_harm_sampled_rows::ct_epoch_calibration_sampled,666.0,sampled_diagnostic,output/20260911-023006-29_full_cfc_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_calibration_sampled_harm_sampled_rows
full_cfc,2,101374,ct_epoch_calibration_sampled_harm_sampled_rows::ct_epoch_calibration_sampled,665.0,sampled_diagnostic,output/20260911-023006-29_full_cfc_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_calibration_sampled_harm_sampled_rows
full_cfc,1,50687,ct_epoch_calibration_sampled_help_sampled_rows::ct_epoch_calibration_sampled,666.0,sampled_diagnostic,output/20260911-023006-29_full_cfc_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_calibration_sampled_help_sampled_rows
full_cfc,2,101374,ct_epoch_calibration_sampled_help_sampled_rows::ct_epoch_calibration_sampled,665.0,sampled_diagnostic,output/20260911-023006-29_full_cfc_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_calibration_sampled_help_sampled_rows
full_cfc,1,50687,ct_epoch_calibration_sampled_presence_sampled_rows::ct_epoch_calibration_sampled,666.0,sampled_diagnostic,output/20260911-023006-29_full_cfc_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_calibration_sampled_presence_sampled_rows
full_cfc,2,101374,ct_epoch_calibration_sampled_presence_sampled_rows::ct_epoch_calibration_sampled,665.0,sampled_diagnostic,output/20260911-023006-29_full_cfc_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_calibration_sampled_presence_sampled_rows
