run_id,arm,epoch,loss_total,loss_center,loss_center_aux,loss_center_motion,loss_center_ref,loss_angle,loss_angle_aux,loss_angle_motion,loss_angle_ref,loss_seg,loss_bc,loss_velocity,loss_dynamics_displacement,loss_trajectory_nll,loss_trajectory_adapter_norm,trajectory_sigma_mean,trajectory_adapter_norm,trajectory_adapter_scale,trajectory_gap_activation,trajectory_gap_ratio,trajectory_search_valid,trajectory_search_gap_ratio,search_expansion_points,search_query_delta_t,search_predicted_displacement,foreground_score,foreground_points,valid_history_ratio
A0,Legacy motion α=0,16,0.46141441,0.04349391,0.04605302,0.05726773,0.01818031,0.00037105,0.00121907,0.00070187,0.00126687,0.06842755,0.10927227,0.09573519,0.03820375,,,,,,,,,,0.0,0.49800726,0.0,0.43319407,107.6596287,0.90180931
A0,Legacy motion α=0,17,0.4259584,0.03797423,0.04122212,0.05218467,0.01781049,0.00035614,0.00122249,0.00066623,0.00127274,0.06675484,0.10641633,0.09246723,0.03667535,,,,,,,,,,0.0,0.49799162,0.0,0.43179368,109.0155449,0.90312997
A0,Legacy motion α=0,18,0.42399737,0.03892133,0.04146107,0.05307124,0.01654203,0.00033693,0.00106374,0.0006135,0.0011247,0.06468029,0.1035371,0.09419721,0.03751549,,,,,,,,,,0.0,0.49785007,0.0,0.43384718,108.76836826,0.90248615
A0,Legacy motion α=0,19,0.42741987,0.04039561,0.04364348,0.0522353,0.01741656,0.00034221,0.00118075,0.00059058,0.00122999,0.06386065,0.10070625,0.09525448,0.03790657,,,,,,,,,,0.0,0.49790555,0.0,0.43296775,108.73084758,0.90210646
A0,Legacy motion α=0,20,0.38646278,0.03508883,0.03799806,0.04737081,0.01626555,0.00032588,0.00104123,0.0005693,0.0010782,0.06119974,0.09474086,0.09280951,0.03678645,,,,,,,,,,0.0,0.49794483,0.0,0.4316484,109.6312399,0.90392236
A0,Legacy motion α=0,21,0.31540913,0.02911025,0.02980711,0.03643525,0.011308,0.00029148,0.00040433,0.00051803,0.00037698,0.05760416,0.0848554,0.09300301,0.03730343,,,,,,,,,,0.0,0.49790095,0.0,0.43169477,108.75138427,0.90312997
A0,Legacy motion α=0,22,0.29963996,0.02859537,0.02786579,0.03376126,0.01100283,0.00027988,0.00037897,0.00045407,0.00033386,0.05566764,0.08125693,0.09209478,0.03683464,,,,,,,,,,0.0,0.49792516,0.0,0.42565963,108.37853247,0.90466523
A0,Legacy motion α=0,23,0.29164516,0.02727405,0.02710234,0.03254144,0.01094836,0.00026716,0.00036735,0.00043719,0.00032724,0.05473296,0.08074879,0.09562043,0.03841347,,,,,,,,,,0.0,0.49790804,0.0,0.42520134,108.96806653,0.90347664
A0,Legacy motion α=0,24,0.27922843,0.02566898,0.02560223,0.03057499,0.01065451,0.00027849,0.00037069,0.00046716,0.00029959,0.05279967,0.07910431,0.0918616,0.03679317,,,,,,,,,,0.0,0.49802557,0.0,0.42489627,106.52871208,0.90357569
A0,Legacy motion α=0,25,0.27518943,0.02571823,0.02545079,0.02964039,0.01052008,0.00028521,0.00038306,0.00046063,0.00028918,0.05361088,0.07686635,0.09238315,0.03684455,,,,,,,,,,0.0,0.49797934,0.0,0.42483332,106.6115284,0.9019909
