run,metric,epoch,batch_count,mean,min,max,all_finite
Full,ct_motion_residual_saturation,41,1262,0.0016095483359746434,0.0,0.0625,True
Full,ct_motion_residual_saturation,42,1262,0.0020057448494453247,0.0,0.09375,True
Full,ct_motion_residual_saturation,43,1262,0.0017581220285261489,0.0,0.0625,True
Full,ct_motion_residual_saturation,44,1262,0.0017333597464342313,0.0,0.09375,True
Full,ct_motion_residual_saturation,45,1262,0.001881933438985737,0.0,0.0625,True
Full,ct_motion_residual_saturation,46,1262,0.00205526941362916,0.0,0.09375,True
Full,ct_motion_residual_saturation,47,1262,0.0019066957210776545,0.0,0.0625,True
Full,ct_motion_residual_saturation,48,1262,0.001931458003169572,0.0,0.09375,True
Full,ct_motion_residual_saturation,49,1262,0.0020057448494453247,0.0,0.0625,True
Full,ct_motion_residual_saturation,50,1262,0.0018076465927099842,0.0,0.0625,True
Full,ct_motion_residual_saturation,51,1262,0.0021047939778129953,0.0,0.09375,True
Full,ct_motion_residual_saturation,52,1262,0.0018571711568938192,0.0,0.09375,True
Full,ct_motion_residual_saturation,53,1262,0.001881933438985737,0.0,0.0625,True
Full,ct_motion_residual_saturation,54,1262,0.0020305071315372424,0.0,0.0625,True
Full,ct_motion_residual_saturation,55,1262,0.0022781299524564183,0.0,0.0625,True
Full,ct_motion_residual_saturation,56,1262,0.0020057448494453247,0.0,0.125,True
Full,ct_motion_residual_saturation,57,1262,0.0018571711568938192,0.0,0.09375,True
Full,ct_motion_residual_saturation,58,1262,0.0019809825673534074,0.0,0.125,True
Full,ct_motion_residual_saturation,59,1262,0.0017085974643423138,0.0,0.0625,True
Full,ct_motion_residual_saturation,60,1262,0.0018571711568938192,0.0,0.0625,True
Full,ct_observation_rmse,1,1262,0.9279798500464193,0.34916558861732483,3.6520426273345947,True
Full,ct_observation_rmse,2,1262,0.6129408649474429,0.24158042669296265,1.4643809795379639,True
Full,ct_observation_rmse,3,1262,0.541424815597606,0.22074735164642334,1.6680015325546265,True
Full,ct_observation_rmse,4,1262,0.4987065301242797,0.21502341330051422,1.588869571685791,True
Full,ct_observation_rmse,5,1262,0.4704425118497548,0.18578173220157623,1.6032767295837402,True
Full,ct_observation_rmse,6,1262,0.46729835778144196,0.19390320777893066,1.3562437295913696,True
Full,ct_observation_rmse,7,1262,0.44867407052339353,0.17900505661964417,1.4649364948272705,True
Full,ct_observation_rmse,8,1262,0.44163905282500426,0.18976397812366486,1.4202346801757812,True
Full,ct_observation_rmse,9,1262,0.42608307005627977,0.1612154096364975,1.4189375638961792,True
Full,ct_observation_rmse,10,1262,0.40698718786145166,0.17296352982521057,1.483352541923523,True
Full,ct_observation_rmse,11,1262,0.4000221151864472,0.16525748372077942,1.1707403659820557,True
Full,ct_observation_rmse,12,1262,0.39635044656304286,0.18222494423389435,1.3911352157592773,True
Full,ct_observation_rmse,13,1262,0.39336368517150216,0.1658412367105484,1.2754831314086914,True
Full,ct_observation_rmse,14,1262,0.3731045687538697,0.15858548879623413,1.3927905559539795,True
Full,ct_observation_rmse,15,1262,0.3621414638996691,0.15643112361431122,1.6067438125610352,True
Full,ct_observation_rmse,16,1262,0.3542612733912732,0.14509043097496033,1.2350420951843262,True
Full,ct_observation_rmse,17,1262,0.357886869690592,0.16072307527065277,1.302128791809082,True
Full,ct_observation_rmse,18,1262,0.3450171662798585,0.1314578801393509,1.1421971321105957,True
Full,ct_observation_rmse,19,1262,0.3456545492808339,0.17115646600723267,1.699251413345337,True
Full,ct_observation_rmse,20,1262,0.3496330258821723,0.1260574609041214,1.2388010025024414,True
Full,ct_observation_rmse,21,1262,0.29339129903992833,0.14975585043430328,1.0643166303634644,True
Full,ct_observation_rmse,22,1262,0.284663615308454,0.11380182206630707,1.3456413745880127,True
Full,ct_observation_rmse,23,1262,0.2810292714253281,0.12394832074642181,1.1554590463638306,True
Full,ct_observation_rmse,24,1262,0.2778121963757343,0.12874774634838104,0.8911604881286621,True
Full,ct_observation_rmse,25,1262,0.2744985312790198,0.12195654213428497,1.1503448486328125,True
Full,ct_observation_rmse,26,1262,0.2743190331428818,0.11717917025089264,1.3106346130371094,True
Full,ct_observation_rmse,27,1262,0.2715998794735895,0.13705432415008545,1.064144492149353,True
Full,ct_observation_rmse,28,1262,0.26856677038167054,0.1150052547454834,0.8062363862991333,True
Full,ct_observation_rmse,29,1262,0.26769752569626515,0.11192595958709717,1.3582688570022583,True
Full,ct_observation_rmse,30,1262,0.26752056131838997,0.1167026162147522,0.8660535216331482,True
Full,ct_observation_rmse,31,1262,0.263335436228338,0.11151650547981262,1.1477891206741333,True
Full,ct_observation_rmse,32,1262,0.2631278392370265,0.1258259266614914,1.1507468223571777,True
Full,ct_observation_rmse,33,1262,0.2638928611274283,0.114192433655262,2.171358585357666,True
Full,ct_observation_rmse,34,1262,0.2635085262511687,0.12796837091445923,0.9877331852912903,True
Full,ct_observation_rmse,35,1262,0.25807061878796045,0.1309226155281067,0.816744327545166,True
Full,ct_observation_rmse,36,1262,0.26379261697788625,0.11789784580469131,0.9402673244476318,True
Full,ct_observation_rmse,37,1262,0.26111708430310626,0.12799468636512756,2.6053948402404785,True
Full,ct_observation_rmse,38,1262,0.2603359805115996,0.12871265411376953,1.0782759189605713,True
Full,ct_observation_rmse,39,1262,0.25512993362881303,0.12481202185153961,0.9943138360977173,True
Full,ct_observation_rmse,40,1262,0.2544985967680883,0.1334446668624878,0.8590106964111328,True
