group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,epoch,step,value
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,20,25239,28.77352523803711
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,25,31549,26.090808868408203
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,30,37859,25.821664810180664
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,35,44169,28.62253761291504
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,40,50479,27.47593307495117
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,45,56789,27.0864372253418
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,50,63099,28.00547218322754
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,55,69409,27.079872131347656
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,60,75719,28.27680778503418
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,5,6309,30.680524826049805
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,10,12619,40.36105346679688
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,15,18929,36.4146614074707
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,20,25239,27.946388244628903
