group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,baseline_final,baseline_best,final_delta_vs_group_baseline,best_delta_vs_group_baseline,note
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,3,gate,A3-order-gate-safe,A3 gate-safe,variant,precision/test,54.86542510986328,60,75720,60.16520690917969,55,69410,5.299781799316406,51.11321544647217,6.00411177903568,59.9617,65.2144,-5.096274890136719,-5.04919309082031,observation-biased feature gate
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,4,gate,A3-order-conf-res-gate,A3 conf-res old,variant,success/test,31.173961639404297,60,75720,62.03704071044922,5,6310,30.863079071044922,34.640294551849365,11.487042169979086,50.9858,52.2834,-19.8118383605957,9.753640710449218,old run; high best not reproduced
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,4,gate,A3-order-conf-res-gate,A3 conf-res old,variant,precision/test,30.917945861816406,60,75720,76.29630279541016,15,18930,45.37835693359375,36.23795620600382,15.01903068236978,59.9617,65.2144,-29.043754138183594,11.081902795410159,old run; high best not reproduced
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,5,latest,A3-conf-res best-e14 retest,A3 best-e14 retest,variant,success/test,28.0579891204834,14,18930,28.0579891204834,14,18930,0.0,28.0579891204834,0.0,50.9858,52.2834,-22.9278108795166,-24.225410879516602,single checkpoint retest
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,5,latest,A3-conf-res best-e14 retest,A3 best-e14 retest,variant,precision/test,37.69584274291992,14,18930,37.69584274291992,14,18930,0.0,37.69584274291992,0.0,59.9617,65.2144,-22.26585725708008,-27.518557257080076,single checkpoint retest
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,6,latest,A3-conf-res rerun seed42,A3 conf-res rerun,variant,success/test,32.10612869262695,60,75720,34.545955657958984,40,50480,2.4398269653320312,30.07968759536743,2.6900119682035224,50.9858,52.2834,-18.879671307373044,-17.737444342041016,latest seed42 rerun
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,6,latest,A3-conf-res rerun seed42,A3 conf-res rerun,variant,precision/test,31.87417984008789,60,75720,36.50437545776367,10,12620,4.630195617675781,30.13922357559204,3.891721804821249,59.9617,65.2144,-28.08752015991211,-28.710024542236326,latest seed42 rerun
a2_seed_stability_60ep,A2 Seed Stability (60ep),60ep nuScenes-mini,0,order,SeqTrack baseline,SeqTrack baseline,baseline,success/test,50.9858,60,75719,52.2834,35,44169,1.2976000000000028,47.967908333333334,3.4747748400575857,50.9858,52.2834,0.0,0.0,baseline
a2_seed_stability_60ep,A2 Seed Stability (60ep),60ep nuScenes-mini,0,order,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,59.9617,60,75719,65.2144,10,12619,5.252699999999997,55.92588333333333,6.395816864669351,59.9617,65.2144,0.0,0.0,baseline
a2_seed_stability_60ep,A2 Seed Stability (60ep),60ep nuScenes-mini,1,order,A2-order-dyn,A2 seed42,variant,success/test,50.961708068847656,60,75719,51.54158020019531,45,56789,0.5798721313476562,46.82768154144287,6.5464876965080885,50.9858,52.2834,-0.024091931152341317,-0.7418197998046878,old positive seed42 signal
a2_seed_stability_60ep,A2 Seed Stability (60ep),60ep nuScenes-mini,1,order,A2-order-dyn,A2 seed42,variant,precision/test,63.31401062011719,60,75719,63.573307037353516,10,12619,0.2592964172363281,57.76294803619385,9.903122816696325,59.9617,65.2144,3.352310620117187,-1.641092962646482,old positive seed42 signal
a2_seed_stability_60ep,A2 Seed Stability (60ep),60ep nuScenes-mini,2,latest,A2-order-dyn seed43,A2 seed43,variant,success/test,23.640047073364258,60,75720,45.92232131958008,5,6310,22.28227424621582,30.38129186630249,7.644551218096358,50.9858,52.2834,-27.34575292663574,-6.361078680419922,latest seed43 collapse
a2_seed_stability_60ep,A2 Seed Stability (60ep),60ep nuScenes-mini,2,latest,A2-order-dyn seed43,A2 seed43,variant,precision/test,23.765865325927734,60,75720,54.87964630126953,10,12620,31.113780975341797,35.552609284718834,11.859909025092493,59.9617,65.2144,-36.195834674072266,-10.334753698730466,latest seed43 collapse
a2_seed_stability_60ep,A2 Seed Stability (60ep),60ep nuScenes-mini,3,latest,A2-order-dyn seed44,A2 seed44,variant,success/test,46.904815673828125,60,75720,50.228668212890625,50,63100,3.3238525390625,41.98468462626139,6.557329721180235,50.9858,52.2834,-4.080984326171873,-2.0547317871093753,latest seed44 partial recovery
a2_seed_stability_60ep,A2 Seed Stability (60ep),60ep nuScenes-mini,3,latest,A2-order-dyn seed44,A2 seed44,variant,precision/test,52.62253952026367,60,75720,58.192562103271484,50,63100,5.5700225830078125,48.43982537587484,9.011197500774399,59.9617,65.2144,-7.339160479736329,-7.021837896728513,latest seed44 partial recovery
long_training_180ep,Long Training Stability (180ep),180ep nuScenes-mini,0,long180,SeqTrack baseline 180ep,Baseline 180ep,baseline,success/test,51.33588790893555,180,227160,52.06454849243164,80,100960,0.7286605834960938,49.85436577267117,2.8266540109226392,51.33588790893555,52.06454849243164,0.0,0.0,baseline
long_training_180ep,Long Training Stability (180ep),180ep nuScenes-mini,0,long180,SeqTrack baseline 180ep,Baseline 180ep,baseline,precision/test,60.1466064453125,180,227160,63.70459747314453,10,12620,3.5579910278320312,58.16949356926812,4.82155868107624,60.1466064453125,63.70459747314453,0.0,0.0,baseline
long_training_180ep,Long Training Stability (180ep),180ep nuScenes-mini,1,long180,CT-SeqTrack A2-order-dyn 180ep,A2 180ep,variant,success/test,30.81728744506836,180,227160,46.891685485839844,10,12620,16.074398040771484,32.28179020351834,3.6972125396172077,51.33588790893555,52.06454849243164,-20.518600463867188,-5.172863006591797,A2 long training
long_training_180ep,Long Training Stability (180ep),180ep nuScenes-mini,1,long180,CT-SeqTrack A2-order-dyn 180ep,A2 180ep,variant,precision/test,34.40918731689453,180,227160,55.76149368286133,15,18930,21.352306365966797,36.80576864878336,5.681955073588663,60.1466064453125,63.70459747314453,-25.73741912841797,-7.943103790283203,A2 long training
long_training_180ep,Long Training Stability (180ep),180ep nuScenes-mini,2,long180,CT-SeqTrack A3-conf-res-gate 180ep,A3 conf-res 180ep,variant,success/test,28.464990615844727,180,227160,30.12801170349121,10,12620,1.6630210876464844,28.02163971794976,1.6038764125533909,51.33588790893555,52.06454849243164,-22.87089729309082,-21.93653678894043,A3 long training
long_training_180ep,Long Training Stability (180ep),180ep nuScenes-mini,2,long180,CT-SeqTrack A3-conf-res-gate 180ep,A3 conf-res 180ep,variant,precision/test,27.277902603149414,180,227160,35.596282958984375,5,6310,8.318380355834961,27.01066795984904,2.0832423652487515,60.1466064453125,63.70459747314453,-32.868703842163086,-28.108314514160156,A3 long training
