epoch,value,points,metric,run_id,run
19,0.028950439610336973,1262,M3 path loss,C,M3-w.05
20,0.03007005734979186,1262,M3 path loss,C,M3-w.05
21,0.036367312260668555,1262,M3 path loss,C,M3-w.05
22,0.024628155380249445,1262,M3 path loss,C,M3-w.05
23,0.02047182154387775,1262,M3 path loss,C,M3-w.05
24,0.016816826937671288,1262,M3 path loss,C,M3-w.05
25,0.01587675549713496,1262,M3 path loss,C,M3-w.05
26,0.015325269492663348,1262,M3 path loss,C,M3-w.05
27,0.014638573272394867,1262,M3 path loss,C,M3-w.05
28,0.015006597319010146,1262,M3 path loss,C,M3-w.05
29,0.014900010690003008,1262,M3 path loss,C,M3-w.05
30,0.01428872408000708,1262,M3 path loss,C,M3-w.05
31,0.014337852705442,1262,M3 path loss,C,M3-w.05
32,0.014248408263430394,1262,M3 path loss,C,M3-w.05
33,0.014429949045267247,1262,M3 path loss,C,M3-w.05
34,0.013908519223177892,1262,M3 path loss,C,M3-w.05
35,0.013817541517937931,1262,M3 path loss,C,M3-w.05
36,0.013347021462343206,1262,M3 path loss,C,M3-w.05
37,0.0140919819105787,1262,M3 path loss,C,M3-w.05
38,0.014069233091103733,1262,M3 path loss,C,M3-w.05
39,0.014515321659262398,1262,M3 path loss,C,M3-w.05
40,0.01362382791614549,1262,M3 path loss,C,M3-w.05
41,0.013510189650387677,1262,M3 path loss,C,M3-w.05
